run_file,run_id,condition_id,topic_id,run_number,round_number,turn_in_round,agent_name,turn_id,civility,relevance,logical_consistency,argument_strength,document_grounding,responsiveness,stance_differentiation,composite
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,1,1,CDU/CSU,7267e273-a5a9-4489-a54a-0b7950bc5dfc,4,4,4,4,4,1,4,3.571
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,1,2,SPD,d9793789-2b0d-4489-b485-af6737049a90,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,1,3,Bündnis 90/Die Grünen,12fb33ef-c13a-4a36-8e64-8cfba18b2e7f,4,4,4,4,4,3,5,4.0
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,1,4,FDP,14a961f7-778d-471f-891f-d7599b84ae40,4,4,4,4,3,3,4,3.714
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,1,5,Die Linke,99b12314-42a7-428c-a5e0-73f95635c527,4,4,4,4,3,4,5,4.0
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,1,6,AfD,e7744f56-ef97-4da4-ad6d-727489fa51af,3,4,4,3,3,2,5,3.429
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,2,1,CDU/CSU,c8dfd331-0f3f-448a-b007-cd1f925e4733,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,2,2,SPD,e6b8993f-6823-4743-b32f-c8f4d7c30b4f,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,2,3,Bündnis 90/Die Grünen,68d1365d-cc59-4e35-9bac-62d92bae500c,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,2,4,FDP,dadcf45b-2ec0-442a-ae77-43f30afac065,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,2,5,Die Linke,f7081798-615c-4e0e-8ec3-677260b8512e,4,4,4,4,4,3,5,4.0
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,2,6,AfD,332ef9b4-0799-4cc2-aafb-eef51e617d6e,3,4,4,3,3,2,5,3.429
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,3,1,CDU/CSU,809954d7-7868-4359-8da6-8c5f74073fa3,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,3,2,SPD,13ad33db-8b8c-4bf4-bf4a-9f6391112948,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,3,3,Bündnis 90/Die Grünen,9bfb8971-a377-4c96-b654-766bef46b13c,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,3,4,FDP,906827ae-aed0-440f-b760-6bf21174e5c3,4,4,4,4,4,3,4,3.857
runs\experiment\baseline_1\migrationspolitik\run_01_20260706_172151.json,0f283572-57e2-432c-abf0-69626aad02b5,baseline_1,migrationspolitik,1,3,5,Die Linke,3c71325f-96d0-47c8-b9d3-a8b09418870c,4,4,4,4,4,3,5,4.0
